[2019-01-14 02:48:33.849632] insert -> user_session	element_ID: 98	by_user_ID: 
[2019-01-24 01:17:06.355690] insert -> user_session	element_ID: 2	by_user_ID: 
[2019-01-24 01:17:27.953699] update -> task	element_ID: 20	by_user_ID: 4
[2019-01-24 01:17:45.271055] update -> task	element_ID: 20	by_user_ID: 4
[2019-01-24 01:17:49.970961] update -> task	element_ID: 19	by_user_ID: 4
[2019-01-24 01:17:53.967756] update -> task	element_ID: 19	by_user_ID: 4
[2019-01-24 03:00:03.809591] insert -> user_session	element_ID: 3	by_user_ID: 
[2019-01-24 03:10:23.500956] update -> task	element_ID: 1	by_user_ID: 4
[2019-01-24 03:10:27.084902] update -> task	element_ID: 1	by_user_ID: 4
[2019-01-24 15:23:30.628716] insert -> user_session	element_ID: 4	by_user_ID: 
[2019-01-24 17:21:07.167886] insert -> user_session	element_ID: 1	by_user_ID: 
[2019-01-24 17:21:17.561228] update -> task	element_ID: 2	by_user_ID: 4
[2019-01-24 17:31:19.349899] insert -> user_session	element_ID: 2	by_user_ID: 
[2019-01-24 17:31:39.906941] insert -> task	element_ID: 22	by_user_ID: 5
[2019-01-24 17:31:58.426624] insert -> user_session	element_ID: 3	by_user_ID: 
